B B
C1CSCN1 C1NC[CH2:1]S1
C1CSCN1 C1N[CH2:1]CS1
C1CSCS1 C1CS[CH2:1]S1
C1CSN=N1 C1N=NS[CH2:1]1
C1CSN=N1 C1SN=N[CH2:1]1
C1CSN=N1 N1=N[CH2:1][CH2:1]S1
C1CSNCN1 C1NC[CH2:1]SN1
C1CSNCN1 C1NSC[CH2:1]N1
C1CSNCN1 C1NS[CH2:1][CH2:1]N1
C1CSSC1 C1C[CH2:1]SS1
C1CSSC1 C1SSC[CH2:1]1
C1CSSCN1 C1CSS[CH2:1]N1
C1CSSCN1 C1NC[CH2:1]SS1
C1NCNCN1 C1NCN[CH2:1]N1
C1NCNCN1 C1NC[NH:1]CN1
C1OCOCO1 C1OCO[CH2:1]O1
C=C C=[CH2:1]
C=N C=[NH:1]
C=N N=[CH2:1]
C=O C=[O:1]
C=O O=[CH2:1]
C=S C=[S:1]
C=S S=[CH2:1]
CBr Br[CH3:1]
CBr C[Br:1]
CC C[CH3:1]
CCl C[Cl:1]
CCl Cl[CH3:1]
CF C[F:1]
CF F[CH3:1]
CI C[I:1]
CI I[CH3:1]
CN C[NH2:1]
CN N[CH3:1]
CO C[OH:1]
CO O[CH3:1]
CP C[PH2:1]
CP P[CH3:1]
CS C[SH:1]
CS S[CH3:1]
C[NH3+] C[NH3+:1]
C[NH3+] [NH3+][CH3:1]
C[O-] C[O-:1]
C[O-] [O-][CH3:1]
C[SeH] C[SeH:1]
C[SeH] [SeH][CH3:1]
C[SiH3] C[SiH3:1]
C[SiH3] [SiH3][CH3:1]
ClCl Cl[Cl:1]
FP F[PH2:1]
FS F[SH:1]
FS S[F:1]
I I
II I[I:1]
N N
N#N N#[N:1]
N#[NH+] N#[NH+:1]
N=N N=[NH:1]
N=O N=[O:1]
N=O O=[NH:1]
N=S S=[NH:1]
N=[NH2+] [NH2+]=[NH:1]
NBr Br[NH2:1]
NBr N[Br:1]
NCl Cl[NH2:1]
NCl N[Cl:1]
NN N[NH2:1]
NO N[OH:1]
NO O[NH2:1]
NP N[PH2:1]
NP P[NH2:1]
NS N[SH:1]
NS S[NH2:1]
N[NH3+] N[NH3+:1]
N[NH3+] [NH3+][NH2:1]
N[SiH3] N[SiH3:1]
N[SiH3] [SiH3][NH2:1]
O=I I=[O:1]
O=I O=[I:1]
O=O O=[O:1]
O=P O=[PH:1]
O=P P=[O:1]
O=S O=[S:1]
O=S S=[O:1]
O=[PH2+] O=[PH2+:1]
O=[Se] O=[Se:1]
O=[Se] [Se]=[O:1]
O=[SiH2] O=[SiH2:1]
O=[SiH2] [SiH2]=[O:1]
OO O[OH:1]
OP O[PH2:1]
OP P[OH:1]
OS O[SH:1]
OS S[OH:1]
O[PH3+] O[PH3+:1]
O[PH3+] [PH3+][OH:1]
O[SiH3] O[SiH3:1]
O[SiH3] [SiH3][OH:1]
P P
P=S P=[S:1]
P=S S=[PH:1]
PS P[SH:1]
PS S[PH2:1]
S S
SCl Cl[SH:1]
SCl S[Cl:1]
SS S[SH:1]
[Br-] [Br-]
[C-]#[O+] [O+]#[C-:1]
[N-]=[NH2+] [N-]=[NH2+:1]
[N-]=[NH2+] [NH2+]=[N-:1]
[NH2+]=O O=[NH2+:1]
[NH3+]O O[NH3+:1]
[NH3+]O [NH3+][OH:1]
[NH3+][O-] [NH3+][O-:1]
